equipment_id,cycle,timestamp,temperature,vibration,pressure,current,rpm
EQ-001,1,2025-05-01 00:00:00,63.614,1.764,102.538,40.563,1467.873
EQ-001,2,2025-05-01 06:00:00,65.271,2.027,97.064,37.143,1522.256
EQ-001,3,2025-05-01 12:00:00,63.213,2.648,97.63,39.776,1486.488
EQ-001,4,2025-05-01 18:00:00,67.5,1.843,95.35,42.888,1496.421
EQ-001,5,2025-05-02 00:00:00,65.096,2.657,100.584,39.536,1523.37
EQ-001,6,2025-05-02 06:00:00,67.106,2.592,102.133,42.796,1497.872
EQ-001,7,2025-05-02 12:00:00,64.693,2.268,98.675,41.535,1507.716
EQ-001,8,2025-05-02 18:00:00,67.284,1.435,99.266,39.387,1478.691
EQ-001,9,2025-05-03 00:00:00,61.753,1.845,105.724,38.379,1520.975
EQ-001,10,2025-05-03 06:00:00,65.049,2.01,102.809,40.51,1498.176
EQ-001,11,2025-05-03 12:00:00,66.079,2.719,104.043,41.906,1484.726
EQ-001,12,2025-05-03 18:00:00,64.463,2.029,93.274,37.632,1484.715
EQ-001,13,2025-05-04 00:00:00,65.719,1.968,101.642,40.181,1525.35
EQ-001,14,2025-05-04 06:00:00,65.685,2.256,100.754,36.938,1491.207
EQ-001,15,2025-05-04 12:00:00,67.098,1.777,96.244,39.491,1485.051
EQ-001,16,2025-05-04 18:00:00,66.243,2.193,96.868,37.518,1493.504
EQ-001,17,2025-05-05 00:00:00,65.786,1.96,99.345,40.843,1500.681
EQ-001,18,2025-05-05 06:00:00,66.759,3.006,95.974,38.967,1502.277
EQ-001,19,2025-05-05 12:00:00,62.294,1.925,97.604,41.737,1506.665
EQ-001,20,2025-05-05 18:00:00,63.495,2.779,98.615,39.189,1503.521
EQ-001,21,2025-05-06 00:00:00,62.229,1.858,101.721,39.053,1509.707
EQ-001,22,2025-05-06 06:00:00,66.097,2.279,97.88,37.577,1495.909
EQ-001,23,2025-05-06 12:00:00,65.828,2.35,98.658,40.587,1531.083
EQ-001,24,2025-05-06 18:00:00,67.771,2.243,103.073,40.738,1492.673
EQ-001,25,2025-05-07 00:00:00,65.703,2.224,94.707,41.41,1520.286
EQ-001,26,2025-05-07 06:00:00,63.737,2.458,100.682,40.983,1491.015
EQ-001,27,2025-05-07 12:00:00,65.268,2.325,101.168,40.602,1478.583
EQ-001,28,2025-05-07 18:00:00,61.249,2.148,101.25,40.894,1474.994
EQ-001,29,2025-05-08 00:00:00,64.184,1.998,98.496,41.045,1504.559
EQ-001,30,2025-05-08 06:00:00,60.306,2.15,96.805,41.361,1517.429
EQ-001,31,2025-05-08 12:00:00,65.657,2.147,104.559,37.709,1482.735
EQ-001,32,2025-05-08 18:00:00,64.441,2.141,97.431,39.307,1486.838
EQ-001,33,2025-05-09 00:00:00,64.735,2.223,96.649,37.565,1505.792
EQ-001,34,2025-05-09 06:00:00,63.137,1.777,100.061,40.498,1499.962
EQ-001,35,2025-05-09 12:00:00,63.662,1.892,97.783,42.445,1491.215
EQ-001,36,2025-05-09 18:00:00,66.385,2.45,103.152,41.345,1480.811
EQ-001,37,2025-05-10 00:00:00,62.128,1.525,99.204,39.089,1504.636
EQ-001,38,2025-05-10 06:00:00,66.011,2.559,103.541,40.758,1509.794
EQ-001,39,2025-05-10 12:00:00,63.378,2.032,101.346,40.523,1507.376
EQ-001,40,2025-05-10 18:00:00,61.638,2.701,98.835,40.35,1500.398
EQ-001,41,2025-05-11 00:00:00,67.453,2.568,103.342,38.045,1484.164
EQ-001,42,2025-05-11 06:00:00,67.658,2.102,98.047,41.973,1504.718
EQ-001,43,2025-05-11 12:00:00,63.921,2.133,99.04,38.233,1503.597
EQ-001,44,2025-05-11 18:00:00,63.901,2.678,101.587,39.45,1480.302
EQ-001,45,2025-05-12 00:00:00,64.498,2.582,100.68,41.439,1495.465
EQ-001,46,2025-05-12 06:00:00,63.38,2.492,97.979,39.44,1505.496
EQ-001,47,2025-05-12 12:00:00,63.732,2.543,95.391,40.119,1498.826
EQ-001,48,2025-05-12 18:00:00,65.9,1.874,99.944,40.179,1470.592
EQ-001,49,2025-05-13 00:00:00,69.148,2.262,97.819,40.099,1490.395
EQ-001,50,2025-05-13 06:00:00,64.291,1.969,100.089,40.173,1489.397
EQ-001,51,2025-05-13 12:00:00,67.046,1.866,98.737,40.321,1508.389
EQ-001,52,2025-05-13 18:00:00,65.706,2.249,97.847,40.112,1538.976
EQ-001,53,2025-05-14 00:00:00,61.656,2.076,99.196,38.657,1502.009
EQ-001,54,2025-05-14 06:00:00,64.951,2.15,99.78,37.675,1482.03
EQ-001,55,2025-05-14 12:00:00,64.7,2.05,102.085,41.497,1497.592
EQ-001,56,2025-05-14 18:00:00,67.929,1.824,101.27,41.566,1500.16
EQ-001,57,2025-05-15 00:00:00,68.01,2.709,106.283,40.506,1511.349
EQ-001,58,2025-05-15 06:00:00,65.754,2.247,100.424,40.494,1518.632
EQ-001,59,2025-05-15 12:00:00,67.429,1.767,97.981,38.627,1520.865
EQ-001,60,2025-05-15 18:00:00,64.707,2.255,99.501,36.342,1508.058
EQ-001,61,2025-05-16 00:00:00,67.239,2.656,101.705,39.627,1499.988
EQ-001,62,2025-05-16 06:00:00,65.201,2.488,103.01,37.154,1522.251
EQ-001,63,2025-05-16 12:00:00,67.195,2.044,104.024,40.277,1494.787
EQ-001,64,2025-05-16 18:00:00,67.399,2.052,96.949,41.956,1500.817
EQ-001,65,2025-05-17 00:00:00,66.433,1.913,103.842,39.076,1496.348
EQ-001,66,2025-05-17 06:00:00,63.517,1.977,99.862,39.162,1468.031
EQ-001,67,2025-05-17 12:00:00,64.159,2.002,97.219,38.491,1519.076
EQ-001,68,2025-05-17 18:00:00,66.505,1.76,99.389,40.066,1510.133
EQ-001,69,2025-05-18 00:00:00,66.787,2.067,103.632,39.95,1464.45
