equipment_id,equipment_type,cycle,timestamp,temperature,vibration,pressure,current,rpm
HIST-001,Pump,1,2024-01-01 00:00:00,66.501,1.868,101.319,39.621,1525.935
HIST-001,Pump,2,2024-01-01 06:00:00,66.881,1.932,101.573,40.545,1520.388
HIST-001,Pump,3,2024-01-01 12:00:00,61.098,2.393,100.829,36.385,1503.828
HIST-001,Pump,4,2024-01-01 18:00:00,62.396,2.082,95.762,38.265,1520.259
HIST-001,Pump,5,2024-01-02 00:00:00,65.256,2.198,93.07,39.559,1500.181
HIST-001,Pump,6,2024-01-02 06:00:00,64.368,2.151,100.163,38.392,1503.042
HIST-001,Pump,7,2024-01-02 12:00:00,64.966,2.301,98.585,41.072,1483.598
HIST-001,Pump,8,2024-01-02 18:00:00,63.294,2.622,101.378,42.996,1505.955
HIST-001,Pump,9,2024-01-03 00:00:00,66.759,2.227,102.106,38.235,1500.906
HIST-001,Pump,10,2024-01-03 06:00:00,66.556,2.393,100.415,38.744,1480.46
HIST-001,Pump,11,2024-01-03 12:00:00,65.132,1.585,102.28,40.353,1499.232
HIST-001,Pump,12,2024-01-03 18:00:00,67.254,2.185,100.688,42.417,1498.804
HIST-001,Pump,13,2024-01-04 00:00:00,65.935,1.947,101.59,38.166,1526.963
HIST-001,Pump,14,2024-01-04 06:00:00,63.281,1.834,97.886,40.374,1513.413
HIST-001,Pump,15,2024-01-04 12:00:00,65.738,1.937,99.461,42.732,1500.172
HIST-001,Pump,16,2024-01-04 18:00:00,63.082,2.1,100.59,37.522,1503.732
HIST-001,Pump,17,2024-01-05 00:00:00,66.757,2.475,102.462,38.078,1500.663
HIST-001,Pump,18,2024-01-05 06:00:00,64.9,1.802,98.819,39.365,1496.956
HIST-001,Pump,19,2024-01-05 12:00:00,64.63,2.209,101.564,39.219,1483.764
HIST-001,Pump,20,2024-01-05 18:00:00,63.638,2.055,99.202,41.219,1497.734
HIST-001,Pump,21,2024-01-06 00:00:00,67.445,2.102,99.647,40.362,1488.809
HIST-001,Pump,22,2024-01-06 06:00:00,64.691,2.501,102.489,37.338,1481.245
HIST-001,Pump,23,2024-01-06 12:00:00,64.143,2.361,94.021,40.773,1507.668
HIST-001,Pump,24,2024-01-06 18:00:00,64.296,2.601,96.111,39.134,1505.869
HIST-001,Pump,25,2024-01-07 00:00:00,66.065,2.154,95.553,41.912,1473.199
HIST-001,Pump,26,2024-01-07 06:00:00,65.731,1.991,92.999,39.059,1498.16
HIST-001,Pump,27,2024-01-07 12:00:00,65.825,2.133,97.965,39.045,1514.936
HIST-001,Pump,28,2024-01-07 18:00:00,65.862,2.273,102.248,40.812,1515.888
HIST-001,Pump,29,2024-01-08 00:00:00,69.283,2.253,99.145,41.144,1515.388
HIST-001,Pump,30,2024-01-08 06:00:00,64.187,1.875,100.593,40.672,1500.584
HIST-001,Pump,31,2024-01-08 12:00:00,63.976,2.227,103.268,37.472,1487.324
HIST-001,Pump,32,2024-01-08 18:00:00,63.372,2.268,103.983,40.807,1483.745
HIST-001,Pump,33,2024-01-09 00:00:00,66.232,2.955,99.793,38.449,1505.169
HIST-001,Pump,34,2024-01-09 06:00:00,67.258,2.763,104.061,40.353,1505.689
HIST-001,Pump,35,2024-01-09 12:00:00,64.772,1.944,100.276,37.864,1519.31
HIST-001,Pump,36,2024-01-09 18:00:00,63.32,2.114,97.488,40.669,1516.5
HIST-001,Pump,37,2024-01-10 00:00:00,63.351,1.761,98.217,38.79,1498.017
HIST-001,Pump,38,2024-01-10 06:00:00,66.301,2.023,95.558,38.076,1481.337
HIST-001,Pump,39,2024-01-10 12:00:00,66.487,2.295,97.336,41.071,1495.213
HIST-001,Pump,40,2024-01-10 18:00:00,66.086,2.562,98.926,40.362,1503.258
HIST-001,Pump,41,2024-01-11 00:00:00,63.669,1.981,102.411,39.079,1496.969
HIST-001,Pump,42,2024-01-11 06:00:00,65.464,2.004,105.162,42.177,1491.332
HIST-001,Pump,43,2024-01-11 12:00:00,65.233,1.556,95.853,39.339,1503.793
HIST-001,Pump,44,2024-01-11 18:00:00,65.437,2.151,101.178,40.048,1492.441
HIST-001,Pump,45,2024-01-12 00:00:00,66.743,1.881,96.878,40.403,1490.579
HIST-001,Pump,46,2024-01-12 06:00:00,65.447,2.041,101.424,39.071,1504.672
HIST-001,Pump,47,2024-01-12 12:00:00,66.358,1.937,99.607,40.707,1493.97
HIST-001,Pump,48,2024-01-12 18:00:00,65.135,2.172,94.507,39.2,1503.662
HIST-001,Pump,49,2024-01-13 00:00:00,65.578,1.673,102.785,39.383,1504.098
HIST-001,Pump,50,2024-01-13 06:00:00,66.263,1.76,98.185,42.044,1482.909
HIST-001,Pump,51,2024-01-13 12:00:00,62.086,2.839,98.398,38.439,1492.781
HIST-001,Pump,52,2024-01-13 18:00:00,64.361,1.814,96.791,36.381,1521.567
HIST-001,Pump,53,2024-01-14 00:00:00,64.059,1.871,98.037,42.416,1482.569
HIST-001,Pump,54,2024-01-14 06:00:00,63.722,2.751,101.284,43.824,1468.25
HIST-001,Pump,55,2024-01-14 12:00:00,64.45,3.072,99.432,39.392,1472.072
HIST-001,Pump,56,2024-01-14 18:00:00,67.99,1.849,100.986,37.095,1500.437
HIST-001,Pump,57,2024-01-15 00:00:00,63.268,2.09,101.086,39.534,1500.464
HIST-001,Pump,58,2024-01-15 06:00:00,66.937,2.302,103.962,39.571,1498.236
HIST-001,Pump,59,2024-01-15 12:00:00,61.634,2.719,98.972,39.715,1518.213
HIST-001,Pump,60,2024-01-15 18:00:00,64.33,1.904,95.569,38.33,1459.907
HIST-001,Pump,61,2024-01-16 00:00:00,65.326,2.126,103.202,40.869,1505.939
HIST-001,Pump,62,2024-01-16 06:00:00,66.172,2.433,99.006,40.787,1523.422
HIST-001,Pump,63,2024-01-16 12:00:00,66.422,2.33,103.344,37.758,1483.083
HIST-001,Pump,64,2024-01-16 18:00:00,66.587,2.087,101.15,41.049,1494.303
HIST-001,Pump,65,2024-01-17 00:00:00,64.303,2.16,99.607,43.079,1488.707
HIST-001,Pump,66,2024-01-17 06:00:00,64.075,1.788,101.046,40.258,1486.585
HIST-001,Pump,67,2024-01-17 12:00:00,66.716,2.129,105.853,39.494,1495.106
HIST-001,Pump,68,2024-01-17 18:00:00,64.617,2.12,106.231,39.787,1521.412
HIST-001,Pump,69,2024-01-18 00:00:00,62.449,2.27,100.208,40.923,1527.561
HIST-001,Pump,70,2024-01-18 06:00:00,62.733,2.033,100.481,37.404,1494.961
HIST-001,Pump,71,2024-01-18 12:00:00,63.161,2.341,103.229,40.247,1528.576
HIST-001,Pump,72,2024-01-18 18:00:00,65.994,2.504,97.463,39.414,1500.534
HIST-001,Pump,73,2024-01-19 00:00:00,65.285,2.247,100.999,42.772,1526.305
HIST-001,Pump,74,2024-01-19 06:00:00,66.381,2.306,99.922,39.739,1498.601
HIST-001,Pump,75,2024-01-19 12:00:00,64.145,2.216,100.942,42.502,1501.966
